smiles,logS
O=[N+]([O-])C(Cl)([N+](=O)[O-])[N+](=O)[O-],-1.9259
O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-6.04238
O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,-4.55312
O=C([O-])C(Cl)=C(Cl)Cl,-0.4659
O=C([O-])C(Br)(Br)Br,-0.1713
O=C(Cl)Cl,-1.16085
O=C(Cl)C(=O)Cl,0.896449
O=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,-1.49974
O=C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,-1.1798
FS(F)(F)(F)(F)F,-3.67315
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,-7.66471
FC(F)=C(F)OC(F)(F)C(F)(F)F,-4.9543
FC(F)=C(F)Cl,-2.16095
FC(F)=C(F)C(F)(F)F,-2.8888
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I,-3.31448
FC(F)(F)N1C(F)(F)C(F)(F)OC(F)(F)C1(F)F,-5.59606
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,-7.60212
FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,-9.13597
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-7.64153
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,-7.39703
FC(F)(F)C(Cl)(Cl)Cl,-4.33319
Clc1nc(Cl)nc(Cl)n1,-2.62234
Clc1c(Cl)c(Cl)c(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-12.95
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,-9.9819
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,-4.04
FC(F)(F)C(F)(F)F,-3.34
Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-11.34
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.89
FC(F)(Cl)Cl,-2.42
FC(F)(Cl)C(F)(F)Cl,-2.97
ClC(Cl)=C(Cl)Cl,-2.7
FC1(F)C(F)(F)C(F)(F)C1(F)F,-3.69
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-7.61
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-12.07
FC(Cl)(Cl)C(F)(Cl)Cl,-3.21
ClC(Cl)(Cl)Cl,-2.31
Clc1c(Cl)c(Cl)c2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c1Cl,-11.59
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-6.8
FC(F)(F)C(F)(F)Cl,-3.41
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64
O=[N+]([O-])C(Cl)(Cl)Cl,-2
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.91
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.82
ClC(Cl)=C(Cl)C(Cl)(Cl)Cl,-4.17
FC(F)(F)C(F)(Cl)Cl,-3.1
ClC1=C(Cl)C(Cl)(Cl)C(Cl)(Cl)C1(Cl)Cl,-6.54
FC(Cl)(Cl)Cl,-2.1
O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,-1.29
Clc1c(Cl)c(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,-9.7
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,-9.54
FC(F)(Br)C(F)(F)Br,-4.94
FC(F)(Cl)C(F)(Cl)Cl,-3.04
FC(F)(F)Br,-2.67
N#CC(Cl)(Cl)Cl,-2.17
ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-7.28
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,-5.18
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-5.26
FC(F)(Cl)C(Cl)(Cl)Cl,-3.31
O=[N+]([O-])C(Br)([N+](=O)[O-])[N+](=O)[O-],-1.77
FC(F)(F)F,-3.67
BrC(Br)(Br)Br,-3.14
N#CI,-0.63
FC(F)(F)Cl,-3.06
FC(F)=C(F)F,-2.8
FC(F)(F)C(F)(F)C(F)(F)F,-4.52
